Incident Number,Exposure Number,Address,IncidentDate,Call Number,AlarmDtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,EstimatedPropertyLoss,Estimated Contents Loss,FireFatalities,Fire Injuries,CivilianFatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,PropertyUse,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,NeighborhoodDistrict,Location
18114686,0,126 Sutter Street,10/1/18,182740018,0:08,10/1/18 0:15,10/1/18 0:26,San Francisco,94108,B01,13,1242,1,5,0,0,0,0,,,,0,0,0,0,,551 assist police or other governmental agency,n none,"70 assistance, other",,,,"519 - food and beverage sales, grocery store",,,,,,,,,,,,na,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.79003800002966, -122.40274100000002)"
18114691,0,417 Stockton Street,10/1/18,182740061,0:39,10/1/18 0:44,10/1/18 0:52,San Francisco,94108,B01,13,1324,3,11,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.78962100002966, -122.407085)"
18114720,0,21st Avenue,10/1/18,182740258,2:37,10/1/18 2:41,10/1/18 2:52,San Francisco,94122,B08,22,7425,2,9,0,0,0,0,,,,0,0,0,0,,"711 municipal alarm system, malicious false alarm",n none,86 investigate,,,,"962 - residential street, road or residential dr",,,,,,,,,,,,na,,,,,,,,,,,,,,,4,Sunset/Parkside,"(37.76535000002965, -122.479396)"
18114736,0,354-366 Arkansas Street,10/1/18,182740360,3:54,10/1/18 3:59,10/1/18 4:07,San Francisco,94107,B10,37,2475,1,4,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Potrero Hill,"(37.761760000029646, -122.398483)"
18114747,0,160 Eddy St 324,10/1/18,182740466,5:26,10/1/18 5:39,10/1/18 5:39,San Francisco,94102,B03,3,1453,1,5,0,0,0,0,,,,0,0,0,0,,"500 service call, other",n none,"70 assistance, other",,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78450200002966, -122.41026299999999)"
18114751,0,495 Beach Street,10/1/18,182740500,5:51,10/1/18 5:56,10/1/18 5:59,San Francisco,94133,B01,28,1521,3,11,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,161 - restaurant or cafeteria,,,,,,,,,,,,na,,,,,,,,,,,,,,,3,North Beach,"(37.80702300002968, -122.417106)"
18114756,0,310 Arballo Dr 3  East,10/1/18,182740520,6:07,10/1/18 6:13,10/1/18 6:19,San Francisco,94132,B08,19,8582,1,5,0,0,0,0,,,,0,0,0,0,,553 public service,n none,71 assist physically disabled,,,,"400 - residential, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,7,Lakeshore,"(37.720974000029614, -122.48310500000001)"
18114776,0,2024 Hayes Street,10/1/18,182740797,8:02,10/1/18 8:07,10/1/18 8:11,San Francisco,94117,B05,21,4523,3,10,0,0,0,0,,,,0,0,0,0,,"740 unintentional transmission of alarm, other",n none,86 investigate,,,,322 - alcohol/substance abuse recovery center,,,,,,,,,,,,na,,,,,,,,,,,,,,,5,Lone Mountain/USF,"(37.77353500002965, -122.449788)"
18114777,0,355 Serrano Drive,10/1/18,182740824,8:12,10/1/18 8:17,10/1/18 8:28,San Francisco,94132,B08,19,8581,3,11,0,0,0,0,,,,0,0,0,0,,733 smoke detector activation due to malfunction,n none,86 investigate,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,7,Lakeshore,"(37.71896200002963, -122.480546)"
18114779,0,1812 Divisadero Street,10/1/18,182740844,8:19,10/1/18 8:20,10/1/18 8:42,San Francisco,94115,B04,10,4156,8,28,1,2,1,2,,,1000,0,0,0,0,,"100 fire, other",n none,12 salvage & overhaul,,,,161 - restaurant or cafeteria,"24 cooking area, kitchen",2 unintentional,"50 operational deficiency, other",,"11 spark, ember, or flame from operating equipment","70 organic materials, other",n none,,,,,no,,,,,,,,,,,,,,,2,Pacific Heights,"(37.786354000029654, -122.44001199999998)"
